season,contestant,age,made_finale,winner,n_wins,n_highs,n_lows,n_lipsyncs,n_episodes,age_num,followers_june2017,followers_week23,had_any_lipsync,had_any_win,highs_per_episode,hometown,is_California,is_Florida,is_Georgia,is_Illinois,is_New_York,is_Puerto_Rico,is_Texas,is_international,lipsyncs_per_episode,location,log_followers_june2017,log_followers_week23,lows_per_episode,season_num,state_or_country,total_bottom,total_top,wins_per_episode
S05,Detox,27,0,0,1,1,1,3,12,27.0,,835000,1,1,0.0833,"Los Angeles, California",1,0,0,0,0,0,0,0,0.25,"Chicago, IL, USA",,13.6352,0.0833,5,California,4,2,0.0833
S05,Honey Mahogany,29,0,0,0,0,0,1,12,29.0,,,1,0,0.0,"San Francisco, California",1,0,0,0,0,0,0,0,0.0833,NA,,,0.0,5,California,1,0,0.0
S05,Ivy Winters,26,1,0,1,2,2,1,12,26.0,241800,332000,1,1,0.1667,"New York, New York",0,0,0,0,1,0,0,0,0.0833,"New York City, NY, USA",12.3959,12.7129,0.1667,5,New York,3,3,0.0833
S05,Jade Jolie,25,0,0,0,1,1,1,12,25.0,95500,120000,1,0,0.0833,"Gainesville, Florida",0,1,0,0,0,0,0,0,0.0833,"Louisville, KY, USA",11.4669,11.6953,0.0833,5,Florida,2,1,0.0
S05,Jinkx Monsoon,24,1,0,3,7,0,1,12,24.0,532600,826000,1,1,0.5833,"Seattle, Washington",0,0,0,0,0,0,0,0,0.0833,"Portland, OR, USA",13.1855,13.6244,0.0,5,Washington,1,10,0.25
S05,Lineysha Sparx,24,0,0,1,1,1,1,12,24.0,30500,,1,1,0.0833,"San Juan, Puerto Rico",0,0,0,0,0,1,0,0,0.0833,"Orlando, FL, USA",10.3255,,0.0833,5,Puerto Rico,2,2,0.0833
S05,Monica Beverly Hillz,27,0,0,0,0,0,2,12,27.0,,,1,0,0.0,"Owensboro, Kentucky",0,0,0,0,0,0,0,0,0.1667,"Chicago, IL, USA",,,0.0,5,Kentucky,2,0,0.0
S05,Penny Tration,39,0,0,0,0,0,1,12,39.0,,,1,0,0.0,"Cincinnati, Ohio",0,0,0,0,0,0,0,0,0.0833,NA,,,0.0,5,Ohio,1,0,0.0
S05,Roxxxy Andrews,28,1,0,2,6,2,1,12,28.0,,395000,1,1,0.5,"Orlando, Florida",0,1,0,0,0,0,0,0,0.0833,"Orlando, FL, United States",,12.8866,0.1667,5,Florida,3,8,0.1667
S05,Serena Cha Cha,21,1,0,0,0,0,2,12,21.0,,,1,0,0.0,"Tallahassee, Florida",0,1,0,0,0,0,0,0,0.1667,,,,0.0,5,Florida,2,0,0.0
S05,Vivienne Pinay,26,0,0,0,0,1,1,12,26.0,,,1,0,0.0,"New York, New York",0,0,0,0,1,0,0,0,0.0833,"Los Angeles, CA, USA",,,0.0833,5,New York,2,0,0.0
S06,Adore Delano,23,1,0,4,3,2,2,13,23.0,,,1,1,0.2308,"Azusa, California",1,0,0,0,0,0,0,0,0.1538,"Los Angeles, CA, USA",,,0.1538,6,California,4,7,0.3077
S06,April Carrión,24,0,0,0,1,0,2,13,24.0,,,1,0,0.0769,"Guaynabo, Puerto Rico",0,0,0,0,0,1,0,0,0.1538,NA,,,0.0,6,Puerto Rico,2,1,0.0
S06,BenDeLaCreme,31,1,0,2,4,1,2,13,31.0,298600,774000,1,1,0.3077,"Seattle, Washington",0,0,0,0,0,0,0,0,0.1538,"Los Angeles, CA, USA",12.6069,13.5593,0.0769,6,Washington,3,6,0.1538
S06,Bianca Del Rio,36,1,0,5,4,0,0,13,36.0,992100,,0,1,0.3077,"New Orleans, Louisiana",0,0,0,0,0,0,0,0,0.0,"Los Angeles, CA, USA",13.8076,,0.0,6,Louisiana,0,9,0.3846
S06,Courtney Act,31,1,0,3,1,3,0,13,31.0,598200,,0,1,0.0769,"West Hollywood, California",1,0,0,0,0,0,0,0,0.0,"London, England, UK",13.3017,,0.2308,6,California,3,4,0.2308
S06,Darienne Lake,41,0,0,1,1,3,4,13,41.0,91000,123000,1,1,0.0769,"Rochester, New York",0,0,0,0,1,0,0,0,0.3077,NA,11.4186,11.7199,0.2308,6,New York,7,2,0.0769
S06,Gia Gunn,23,0,0,0,2,0,1,13,23.0,,406000,1,0,0.1538,"Chicago, Illinois",0,0,0,1,0,0,0,0,0.0769,"Los Angeles, CA, USA",,12.9141,0.0,6,Illinois,1,2,0.0
S06,Joslyn Fox,26,0,0,0,1,3,2,13,26.0,165700,224000,1,0,0.0769,"Worcester, Massachusetts",0,0,0,0,0,0,0,0,0.1538,NA,12.0179,12.3194,0.2308,6,Massachusetts,5,1,0.0
S06,Kelly Mantle,37,0,0,0,0,0,1,13,37.0,,,1,0,0.0,"Los Angeles, California",1,0,0,0,0,0,0,0,0.0769,"Los Angeles, CA, USA",,,0.0,6,California,1,0,0.0
S06,Laganja Estranja,24,0,0,1,0,0,2,13,24.0,356100,503000,1,1,0.0,"Van Nuys, California",1,0,0,0,0,0,0,0,0.1538,"Los Angeles, CA, USA",12.783,13.1283,0.0,6,California,2,1,0.0769
S06,Magnolia Crawford,27,0,0,0,0,0,1,13,27.0,,,1,0,0.0,"Seattle, Washington",0,0,0,0,0,0,0,0,0.0769,NA,,,0.0,6,Washington,1,0,0.0
S06,Milk,25,0,0,0,1,1,1,13,25.0,525000,812000,1,0,0.0769,"New York, New York",0,0,0,0,1,0,0,0,0.0769,"New York City, NY, USA",13.1712,13.6073,0.0769,6,New York,2,1,0.0
S06,Trinity K. Bonet,22,0,0,0,3,0,3,13,22.0,157700,227000,1,0,0.2308,"Atlanta, Georgia",0,0,1,0,0,0,0,0,0.2308,"Atlanta, GA, USA",11.9685,12.3327,0.0,6,Georgia,3,3,0.0
S06,Vivacious,40,0,0,0,0,0,2,13,40.0,,,1,0,0.0,"New York, New York",0,0,0,0,1,0,0,0,0.1538,"New York City, NY, USA",,,0.0,6,New York,2,0,0.0
S07,Ginger Minj,29,1,0,4,3,0,2,13,29.0,,384000,1,1,0.2308,"Orlando, Florida",0,1,0,0,0,0,0,0,0.1538,NA,,12.8584,0.0,7,Florida,2,7,0.3077
S07,Jaidynn Diore Fierce,25,0,0,0,2,0,3,13,25.0,93000,130000,1,0,0.1538,"Nashville, Tennessee",0,0,0,0,0,0,0,0,0.2308,NA,11.4404,11.7753,0.0,7,Tennessee,3,2,0.0
S07,Jasmine Masters,37,0,0,0,0,1,1,13,37.0,,193000,1,0,0.0,"Los Angeles, California",1,0,0,0,0,0,0,0,0.0769,NA,,12.1705,0.0769,7,California,2,0,0.0
S07,Kandy Ho,28,0,0,0,0,1,3,13,28.0,,127000,1,0,0.0,"Cayey, Puerto Rico",0,0,0,0,0,1,0,0,0.2308,"Orlando, FL, USA",,11.752,0.0769,7,Puerto Rico,4,0,0.0
S07,Katya,32,0,0,2,4,0,2,13,32.0,,,1,1,0.3077,"Boston, Massachusetts",0,0,0,0,0,0,0,0,0.1538,"West Hollywood, CA, USA",,,0.0,7,Massachusetts,2,6,0.1538
S07,Kennedy Davenport,33,0,0,2,3,0,3,13,33.0,84200,227000,1,1,0.2308,"Dallas, Texas",0,0,0,0,0,0,1,0,0.2308,NA,11.341,12.3327,0.0,7,Texas,3,5,0.1538
